id,n_ccr
CA2701063,3
CA2701068,1
CA2701176,4
CA2701273,4
CA2701297,1
CA2701310,3
CA2701334,4
CA2701446,4
CA2701542,4
CA2701589,1
CA2701630,4
CA2701658,2
CA2701681,4
CA2701687,1
CA2701701,1
CA2701820,1
CA2701825,4
CA2701942,4
CA2701945,4
CA2701951,4
CA2702165,3
CA2702209,4
CA2702229,4
CA2702255,4
CA2702296,1
CA2702323,1
CA2702466,1
CA2702475,4
CA2702482,2
CA2702486,4
CA2702487,1
CA2702495,2
CA2702496,1
CA2702503,4
CA2702551,4
CA2702572,4
CA2702575,4
CA2702607,2
CA2702609,3
CA2702641,3
CA2702679,4
CA2703132,1
CA2704520,1
CA2710301,4
CA2800023,2
CA2800521,3
CA2800525,4
CA2800530,2
CA2800531,4
CA2800593,4
CA2800625,2
CA2801016,1
CA2810001,1
CA2810002,3
CA2810003,4
CA2810004,2
CA2810005,3
CA2810007,2
CA2810009,4
CA2810012,2
CA2810013,1
CA2810014,4
CA2810302,3
CA2810650,4
CA2900502,2
CA2900511,4
CA2900523,4
CA2900529,4
CA2900530,2
CA2900531,3
CA2900541,4
CA2900546,4
CA2900548,4
CA2900562,3
CA2910001,1
CA2910002,2
CA2910003,3
CA2910004,2
CA2910006,2
CA2910010,3
CA2910013,1
CA2910014,2
CA2910016,2
CA2910023,2
CA3000825,1
CA3000940,4
CA3010036,1
CA3010064,1
CA3010094,1
CA3100011,4
CA3100014,3
CA3100029,2
CA3100034,4
CA3100038,3
CA3100041,3
CA3100043,4
CA3100069,4
CA3100528,3
CA3100538,4
CA3103310,3
CA3103835,4
CA3103836,2
CA3104449,4
CA3107339,2
CA3110001,3
CA3110003,3
CA3110004,2
CA3110009,4
CA3110010,2
CA3110011,1
CA3110012,3
CA3110013,2
CA3110015,3
CA3110017,1
CA3110018,3
CA3110019,3
CA3110020,2
CA3110022,1
CA3110023,3
CA3110025,1
CA3110026,1
CA3110028,4
CA3110029,3
CA3110031,3
CA3110034,3
CA3110035,3
CA3110036,1
CA3110042,3
CA3110043,2
CA3110044,2
CA3110047,3
CA3110048,1
CA3110049,3
CA3110051,4
CA3200009,4
CA3200020,4
CA3200022,4
CA3200049,4
CA3200063,4
CA3200078,4
CA3200102,2
CA3200104,2
CA3200107,2
CA3200114,1
CA3200127,2
CA3200130,4
CA3200134,3
CA3200138,4
CA3200148,4
CA3200155,4
CA3200188,4
CA3200189,4
CA3200195,4
CA3200225,4
CA3200509,4
CA3200510,2
CA3200617,4
CA3200618,4
CA3205003,2
CA3205006,3
CA3210001,2
CA3210003,2
CA3210004,2
CA3210005,2
CA3210006,1
CA3210007,4
CA3210009,4
CA3210010,2
CA3210011,3
CA3301011,3
CA3301031,2
CA3301040,1
CA3301045,2
CA3301114,1
CA3301145,4
CA3301169,1
CA3301180,1
CA3301280,2
CA3301330,2
CA3301428,2
CA3301491,1
CA3301502,1
CA3301512,1
CA3301529,3
CA3301535,2
CA3301577,1
CA3301630,2
CA3301682,1
CA3301690,4
CA3301717,1
CA3301756,4
CA3301775,1
CA3301943,1
CA3301947,4
CA3310002,1
CA3310003,2
CA3310017,1
CA3310018,1
CA3310019,3
CA3310030,2
CA3310032,1
CA3310801,1
CA3400103,4
CA3400117,4
CA3400121,4
CA3400122,4
CA3400123,4
CA3400125,4
CA3400128,2
CA3400130,4
CA3400135,3
CA3400137,4
CA3400138,4
CA3400149,2
CA3400155,4
CA3400164,4
CA3400167,4
CA3400169,4
CA3400172,4
CA3400179,4
CA3400181,4
CA3400190,4
CA3400191,4
CA3400192,4
CA3400217,4
CA3400232,1
CA3400296,4
CA3400297,4
CA3400331,1
CA3400335,4
CA3400374,4
CA3400397,4
CA3400401,4
CA3400433,3
CA3410004,1
CA3410005,2
CA3410006,3
CA3410007,1
CA3410008,1
CA3410009,2
CA3410011,2
CA3410014,1
CA3410016,4
CA3410018,1
CA3410020,1
CA3410021,1
CA3410022,2
CA3410026,1
CA3410030,1
CA3410033,1
CA3500537,4
CA3500539,4
CA3500559,4
CA3500570,3
CA3500801,1
CA3510004,1
CA3510008,4
CA3510300,4
CA3510302,4
CA3510502,4
CA3600008,1
CA3600009,1
CA3600022,2
CA3600025,1
CA3600027,4
CA3600031,1
CA3600070,3
CA3600071,4
CA3600089,3
CA3600094,3
CA3600107,1
CA3600108,1
CA3600114,1
CA3600133,4
CA3600139,1
CA3600157,1
CA3600158,3
CA3600166,2
CA3600172,1
CA3600184,1
CA3600185,2
CA3600187,2
CA3600196,1
CA3600200,4
CA3600209,3
CA3600215,1
CA3600220,1
CA3600226,1
CA3600258,1
CA3600260,1
CA3600297,4
CA3600308,1
CA3600321,4
CA3600345,2
CA3600365,4
CA3600372,3
CA3600385,1
CA3600397,2
CA3600399,1
CA3600446,1
CA3600613,4
CA3600770,4
CA3601048,2
CA3601128,4
CA3601182,1
CA3601186,4
CA3610011,1
CA3610014,1
CA3610015,1
CA3610016,1
CA3610021,1
CA3610037,1
CA3610049,1
CA3610117,1
CA3610300,4
CA3610301,4
CA3610703,1
CA3700073,2
CA3700235,4
CA3700276,4
CA3700277,4
CA3700291,3
CA3700422,1
CA3700866,1
CA3700897,2
CA3700905,1
CA3700906,2
CA3700909,2
CA3700918,1
CA3700933,2
CA3700958,2
CA3700962,1
CA3701341,1
CA3701476,3
CA3701747,2
CA3701780,1
CA3701793,2
CA3701837,2
CA3701934,1
CA3701982,3
CA3701988,2
CA3701995,2
CA3702059,4
CA3702104,3
CA3702338,1
CA3705074,4
CA3710012,1
CA3710013,2
CA3710018,2
CA3710023,2
CA3710039,1
CA3710044,2
CA3710055,4
