pwsid,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys,health_5yr_no2ndary_or_lsl_binary,mon_only_5yr_binary,health_5yr_count_no_2ndary_or_lsl,mon_only_5yr_count,CASDWIS_County,CASDWIS_SourceType,watersource,purchased,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population,Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies,SC3i_Count_Distribution,SC5e_Drought_Impact,Distributiondis_any,n_ccr_downloaded,n_ccr_missing
CA3900664,NEW HOPE LANDING GENERAL STORE,CWS,GW,GW,125,44,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,NEW HOPE LANDING GENERAL STORE,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,44,125,MOBILE HOME PARK,0,2,0.67,0.33,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,0,0,0,2,2
CA3900682,LOCKEFORD MOBILE HOME PARK WTR SYS,CWS,GW,GW,123,43,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,LOCKEFORD MOBILE HOME PARK WTR SYS,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,43,123,MOBILE HOME PARK,0,2,0.33,0.33,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,0,0,0,4,0
CA3900701,CURRIER ESTATES WATER CORP,CWS,GW,GW,148,37,other_water_systems,1,1,1,1,SAN JOAQUIN  ,GW,GW,Not purchased,CURRIER ESTATES WATER CORP,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,37,148,RESIDENTIAL AREA,0.25,2,0,0.33,0.65,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,0,0,0,0,4
CA3900702,CORRAL HOLLOW PWS,CWS,GW,GW,145,44,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,CORRAL HOLLOW PWS,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,44,145,RESIDENTIAL AREA,1,0.33,1.08,0,0.6,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0,0,0,0,1,3
CA3900705,FINNLEES TRAILER PARK,CWS,GW,GW,55,26,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,FINNLEES TRAILER PARK,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,26,55,MOBILE HOME PARK,0,2.17,0.33,1,0.88,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA3900714,SUNNYSIDE ESTATES WATER SYSTEM,CWS,SW,SWP,69,21,other_water_systems,0,0,0,0,SAN JOAQUIN  ,SWP,SW,Purchased,SUNNYSIDE ESTATES WATER SYSTEM,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,21,69,RESIDENTIAL AREA,0,1,1.33,0,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,0,0,0,1,3
CA3900719,MOKELUMNE MOBILE SENIOR PARK,CWS,GW,GW,55,25,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,MOKELUMNE MOBILE SENIOR PARK,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,25,55,MOBILE HOME PARK,1.5,1.33,0.33,0.33,0.87,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,0,4
CA3900720,SHADED TERRACE PWS,CWS,GW,GW,238,72,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,SHADED TERRACE PWS,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,72,238,RESIDENTIAL AREA,0,2,0,0.33,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,1,3
CA3900722,MORADA ESTATES PWS,CWS,GW,GW,290,88,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,MORADA ESTATES PWS,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,88,290,RESIDENTIAL AREA,1.75,1,1.42,0,1.04,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0,1,0,1,1,3
CA3900724,ELKHORN ESTATES WATER SYSTEM,CWS,GW,GW,234,71,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,ELKHORN ESTATES WATER SYSTEM,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,71,234,RESIDENTIAL AREA,0,1,0.92,0.67,0.65,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0,0,0,0,1,3
CA3900732,V & P TRAILER COURT WATER SYSTEM,CWS,GW,GW,35,15,other_water_systems,1,1,1,2,SAN JOAQUIN  ,GW,GW,Not purchased,V & P TRAILER COURT WATER SYSTEM,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,15,35,MOBILE HOME PARK,4.5,3.17,0.67,0.33,2.17,--,At-Risk,Non-Failing,At-Risk,1,Y,Y,N,0,0,0,0,1,3
CA3900733,COUNTRY CLUB VISTA MUTUAL WATER CO,CWS,GW,GW,75,31,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,COUNTRY CLUB VISTA MUTUAL WATER CO,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,31,75,OTHER RESIDENTIAL AREA,0,1.33,0.33,0.5,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,0,4
CA3900742,J M EAGLE (WS),NTNCWS,GW,GW,100,15,other_water_systems,1,1,1,1,SAN JOAQUIN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3900748,ESCALON USD- COLLEGEVILLE SCH,NTNCWS,GW,GW,100,1,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,ESCALON USD- COLLEGEVILLE SCH,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,100,SCHOOL,0,2.17,0,0,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3900751,MARTINEZ APARTMENTS,CWS,GW,GW,26,9,other_water_systems,1,0,18,0,SAN JOAQUIN  ,GW,GW,Not purchased,MARTINEZ APARTMENTS,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,9,26,OTHER RESIDENTIAL AREA,3,3,0,0,1.5,At-Risk,At-Risk,Failing,Failing,1,Y,N,Y,0,NA,NA,NA,0,4
CA3900755,SHADY REST TRAILER COURT,CWS,GW,GW,150,49,other_water_systems,1,1,4,1,SAN JOAQUIN  ,GW,GW,Not purchased,SHADY REST TRAILER COURT,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,49,150,MOBILE HOME PARK,2.5,2,0.33,0.33,1.29,--,At-Risk,Failing,Failing,1,Y,N,N,0,0,0,0,4,0
CA3900756,LINDEN USD-GLENWOOD SCHOOL,NTNCWS,GW,GW,100,1,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,LINDEN USD-GLENWOOD SCHOOL,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,100,SCHOOL,0,2.17,0.33,0,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3900757,LINDEN USD-WATERLOO ELEMENTARY,NTNCWS,GW,GW,225,1,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,LINDEN USD-WATERLOO ELEMENTARY,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,225,SCHOOL,0,2.17,0,0,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3900762,RIVERSIDE MOBILE HOME PARK,CWS,GW,GW,55,58,other_water_systems,1,0,2,0,SAN JOAQUIN  ,GW,GW,Not purchased,RIVERSIDE MOBILE HOME PARK,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,58,55,MOBILE HOME PARK,2.25,1,0.67,1.83,1.44,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0,0,0,0,4,0
CA3900796,BTQC-ESCALON,NTNCWS,GW,GW,110,1,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3900798,FRANZIA WINERY,NTNCWS,GW,GW,250,1,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3900805,MOREHEAD PARK,CWS,GW,GW,300,115,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,MOREHEAD PARK,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,115,300,MOBILE HOME PARK,1.5,0.33,0,0,0.46,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,2,2
CA3900813,HAVEN ACRES RIVER CLUB INC,CWS,GW,GW,100,51,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,HAVEN ACRES RIVER CLUB INC,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,51,100,MOBILE HOME PARK,0,2.17,0.67,1,0.96,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA3900815,DELICATO VINEYARDS,NTNCWS,GW,GW,805,5,other_water_systems,0,1,0,2,SAN JOAQUIN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3900825,OWENS-BROCKWAY GLASS CONTAINER INC,NTNCWS,GW,GW,280,1,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3900831,ARBOR MOBILE HOME PARK WS,CWS,GW,GW,340,173,other_water_systems,1,1,1,1,SAN JOAQUIN  ,GW,GW,Not purchased,ARBOR MOBILE HOME PARK WS,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,173,340,MOBILE HOME PARK,1.5,2,0,0.67,1.04,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,0,4
CA3900835,WAYSIDE MOTEL APARTMENTS WTR SYS,CWS,GW,GW,70,25,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,WAYSIDE MOTEL APARTMENTS WTR SYS,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,25,70,OTHER RESIDENTIAL AREA,1.5,1.5,0,1,1,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA3900837,LODI HOMES,CWS,GW,GW,39,12,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,LODI HOMES,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,12,39,RESIDENTIAL AREA,0,2,0,0.67,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,0,0,0,1,3
CA3900842,DOUBLE L MOBILE ESTATES,CWS,GW,GW,320,150,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,DOUBLE L MOBILE ESTATES,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,150,320,MOBILE HOME PARK,0,1,0.33,1,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA3900844,COUNTRY MANOR MHP,CWS,GW,GW,75,41,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,COUNTRY MANOR MHP,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,41,75,MOBILE HOME PARK,0.25,1,0,0.67,0.48,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,1,3
CA3900846,OAK VIEW UNION ELEMENTARY SCH,NTNCWS,GW,GW,350,1,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,OAK VIEW UNION ELEMENTARY SCH,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,350,SCHOOL,0,2,0.33,0,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3900848,LODI USD-TURNER ACADEMY AT TOKAY COLONY,NTNCWS,GW,GW,166,2,other_water_systems,0,1,0,2,SAN JOAQUIN  ,GW,GW,Not purchased,LODI USD-TURNER ACADEMY AT TOKAY COLONY,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,2,166,SCHOOL,0,2.17,0,0,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3900849,LODI USD-LIVE OAK SCHOOL,NTNCWS,GW,GW,100,1,other_water_systems,0,1,0,2,SAN JOAQUIN  ,GW,GW,Not purchased,LODI USD-LIVE OAK SCHOOL,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,100,SCHOOL,0,2.17,0,0,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3900850,LODI USD-HOUSTON SCHOOL,NTNCWS,GW,GW,405,4,other_water_systems,0,1,0,2,SAN JOAQUIN  ,GW,GW,Not purchased,LODI USD-HOUSTON SCHOOL,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,4,405,SCHOOL,0,2.17,0,0,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3900907,BEL AIR MOBILE ESTATE,CWS,GW,GW,325,117,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,BEL AIR MOBILE ESTATE,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,117,325,MOBILE HOME PARK,0,1,0,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,1,0,1,4,0
CA3900921,CARDOZA VILLA CORP,CWS,GW,GW,30,12,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,CARDOZA VILLA CORP,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,12,30,OTHER RESIDENTIAL AREA,0.25,1.5,0,0.5,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,2,2
CA3900927,SPRING CREEK ESTATES PWS,CWS,GW,GW,119,36,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,SPRING CREEK ESTATES PWS,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,36,119,RESIDENTIAL AREA,0,2,0,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,1,0,1,1,3
CA3900964,SAHARA MOBILE COURT,CWS,GW,GW,300,162,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,SAHARA MOBILE COURT,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,162,300,MOBILE HOME PARK,4,1.5,0.67,1,1.79,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA3900978,SJ COUNTY-REDWOOD SCHOOL,NTNCWS,GW,GW,83,1,other_water_systems,1,0,14,0,SAN JOAQUIN  ,GW,GW,Not purchased,SJ COUNTY-REDWOOD SCHOOL,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,83,SCHOOL,0.5,2,0,0,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3900983,CHERRY LANE TRAILER PARK,CWS,GW,GW,100,43,other_water_systems,1,1,11,1,SAN JOAQUIN  ,GW,GW,Not purchased,CHERRY LANE TRAILER PARK,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,43,100,MOBILE HOME PARK,2,1,0.33,1,1.08,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0,0,0,0,4,0
CA3900991,LA TORRES PARK,CWS,GW,GW,40,14,other_water_systems,0,1,0,3,SAN JOAQUIN  ,GW,GW,Not purchased,LA TORRES PARK,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,14,40,OTHER TRANSIENT AREA,1,1.33,0.33,1,0.92,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,1,0,1,2,2
CA3900993,NEW JERUSALEM SCHOOL,NTNCWS,GW,GW,210,1,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,NEW JERUSALEM SCHOOL,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,210,SCHOOL,1.5,0.33,0.33,0,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,NA,NA,NA,NA,NA
CA3901014,BANTA ELEMENTARY SCHOOL,NTNCWS,GW,GW,200,1,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,BANTA ELEMENTARY SCHOOL,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,200,SCHOOL,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3901031,132 INVESTMENTS WATER SYSTEM,CWS,GW,GW,252,93,other_water_systems,1,1,3,1,SAN JOAQUIN  ,GW,GW,Not purchased,132 INVESTMENTS WATER SYSTEM,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,93,252,RESTAURANT,2,1.17,0.33,1,1.13,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0,0,0,0,4,0
CA3901032,LODI USD-TURNER ACADEMY,NTNCWS,GW,GW,120,3,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,LODI USD-TURNER ACADEMY,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,3,120,SCHOOL,1.5,2.17,0.33,0,1,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3901074,TWIN OAKS MOBILE PARK,CWS,GW,GW,238,85,other_water_systems,0,1,0,2,SAN JOAQUIN  ,GW,GW,Not purchased,TWIN OAKS MOBILE PARK,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,85,238,MOBILE HOME PARK,0.75,1,0,0,0.44,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA3901075,FAIRWAY ESTATES PWS CSA-18,CWS,GW,GW,149,45,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,FAIRWAY ESTATES PWS CSA-18,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,45,149,RESIDENTIAL AREA,0,1,1.08,0.67,0.69,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0,0,0,0,1,3
CA3901080,ALPINE MEATS INC,NTNCWS,GW,GW,270,1,other_water_systems,1,0,6,0,SAN JOAQUIN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3901081,MOBILE VILLAS TRAILER PARK,CWS,GW,GW,130,36,other_water_systems,1,1,1,2,SAN JOAQUIN  ,GW,GW,Not purchased,MOBILE VILLAS TRAILER PARK,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,36,130,MOBILE HOME PARK,0,1,0.33,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,1,0,1,2,2
CA3901082,ST JOSEPHS HOSPITAL,NTNCWS,GW,GW,150,1,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3901085,LODI USD-DAVIS SCHOOL,NTNCWS,GW,GW,630,1,other_water_systems,1,1,1,2,SAN JOAQUIN  ,GW,GW,Not purchased,LODI USD-DAVIS SCHOOL,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,630,SCHOOL,1.5,1.33,0.33,0,0.79,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3901086,PACIFIC BELL UE17L WATER SYSTEM,NTNCWS,GW,GW,150,1,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3901090,NORTH VALLEY SCHOOL PWS,NTNCWS,GW,GW,35,1,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,NORTH VALLEY SCHOOL PWS,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,35,SCHOOL,0.75,2.17,0,0,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3901092,SAN JOAQUIN WATER WORKS #2,CWS,GW,GW,310,94,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,SAN JOAQUIN WATER WORKS #2,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,94,310,RESIDENTIAL AREA,0.25,1,0.75,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,1,3
CA3901107,JEFFERSON ESD-JEFFERSON SCHOOL,NTNCWS,GW,GW,60,1,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,JEFFERSON ESD-JEFFERSON SCHOOL,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,60,SCHOOL,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,NA,NA,NA,NA,NA
CA3901113,WALNUT ACRES,CWS,GW,GW,106,32,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,WALNUT ACRES,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,32,106,RESIDENTIAL AREA,0,1,1.67,0.33,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0,0,0,0,1,3
CA3901114,KING ISLAND TRAILER PARK WATER SYSTEM,CWS,GW,GW,236,76,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,KING ISLAND TRAILER PARK WATER SYSTEM,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,76,236,MOBILE HOME PARK,0.25,2,0.67,1,0.98,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA3901159,WILKINSON MANOR A-ZONE PWS,CWS,GW,GWP,125,38,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GWP,GW,Purchased,WILKINSON MANOR A-ZONE PWS,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,38,125,RESIDENTIAL AREA,0,1.67,1.67,0.17,0.88,--,At-Risk,Non-Failing,At-Risk,1,N,N,N,0,0,0,0,1,3
CA3901163,MUSD-NEW HAVEN SCHOOL,NTNCWS,GW,GW,300,3,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,MUSD-NEW HAVEN SCHOOL,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,3,300,SCHOOL,2.5,2.67,0.33,0,1.38,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3901167,EUSD-VAN ALLEN SCHOOL,NTNCWS,GW,GW,200,1,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,EUSD-VAN ALLEN SCHOOL,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,NON-TRANSIENT NON-COMMUNITY,1,200,SCHOOL,0,2.67,0,0,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,NA,NA,NA,NA,NA
CA3901172,PAR COUNTRY ESTATES CSA-16,CWS,GW,GW,178,54,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,PAR COUNTRY ESTATES CSA-16,SAN JOAQUIN,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,54,178,RESIDENTIAL AREA,0.25,0.33,1.33,0.33,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,1,3
CA3901176,PHILLIPS FARMS,NTNCWS,GW,GW,330,2,other_water_systems,1,0,2,0,SAN JOAQUIN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3901179,LODI WINE & BUSINESS CENTER,NTNCWS,GW,GW,61,1,other_water_systems,0,0,0,0,SAN JOAQUIN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3901181,NORTHWEST PIPE COMPANY,NTNCWS,GW,GW,82,3,other_water_systems,0,1,0,1,SAN JOAQUIN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
