"","SABL_PWSID","NN.x","NN_distance_meters.x","NN_distance_miles_largeurban","Remote_largeurban","NN.y","NN_distance_meters.y","NN_distance_miles","Remote"
"219","CA1300579",8,1722.96419504034,1.07060297702185,"No",36,1722.96419504034,1.07060297702185,"No"
"220","CA1503093",3,5970.28808212057,3.70977424417499,"No",4,2061.27759651832,1.28082170114353,"No"
"221","CA4510007",28,2192.32558697821,1.36225134960805,"No",106,2192.32558697821,1.36225134960805,"No"
"222","CA4900653",40,3972.53091679499,2.46842240719487,"No",167,0,0,"No"
"223","CA2110305",33,1183.38064772648,0.735320471576224,"No",117,1183.38064772648,0.735320471576224,"No"
"224","CA4910013",40,9993.43678597487,6.20964916423805,"Yes",134,0,0,"No"
"225","CA2100531",26,19098.2408979281,11.8671262119428,"Yes",167,18653.9742882977,11.5910710529146,"Yes"
"226","CA4901231",40,6442.36679475568,4.00311108575918,"No",134,343.877265470181,0.213675957516858,"No"
"227","CA4901203",40,7511.0549549509,4.66716477248493,"No",21,2787.21241629565,1.73189780673795,"No"
"228","CA4900793",40,3583.5092446501,2.22669494615812,"No",167,2621.22876572544,1.62876009154401,"No"
"229","CA4901448",40,5404.59334080351,3.3582669546544,"No",126,5404.59334080351,3.3582669546544,"No"
"230","CA4901046",40,35523.6257497877,22.0734125478691,"Yes",167,29206.9337769562,18.148392370137,"Yes"
"231","CA4900968",40,5061.12464606806,3.14484487185309,"No",126,5061.12464606806,3.14484487185309,"No"
"232","CA3110009",30,13954.8901416858,8.67118827698671,"Yes",5,2204.66106293039,1.36991627805833,"No"
"233","CA4900847",40,15310.8029893622,9.51371555380604,"Yes",167,11088.874570231,6.89032433807092,"Yes"
"234","CA5200559",5,17642.0295495168,10.96227618124,"Yes",26,6464.30382763367,4.01674215991255,"No"
"235","CA1502569",25,12244.3167747413,7.60828462272816,"Yes",111,0,0,"No"
"236","CA3610060",15,44029.6903536057,27.3588491888636,"Yes",148,1873.71731329451,1.16427685466993,"No"
"237","CA5410009",47,17537.7730962475,10.8974940635586,"Yes",35,0,0,"No"
"238","CA4500063",28,32247.0284565392,20.037424320864,"Yes",106,32247.0284565392,20.037424320864,"Yes"
"239","CA3400169",1,7601.9872259421,4.72366760656051,"No",1,7601.9872259421,4.72366760656051,"No"
"240","CA2000592",11,38594.8758057489,23.9818036000776,"Yes",47,38594.8758057489,23.9818036000776,"Yes"
"241","CA1000217",11,4321.47257275259,2.68524523888836,"No",47,4321.47257275259,2.68524523888836,"No"
"242","CA2702615",31,8075.89789161898,5.01814277381969,"Yes",115,8075.89789161898,5.01814277381969,"Yes"
"243","CA1010025",11,14638.6515350316,9.09605896518547,"Yes",97,0,0,"No"
"244","CA5400553",52,11189.3444353356,6.95275357310175,"Yes",168,7008.19976016011,4.35470426395921,"No"
"245","CA1000308",11,73925.6602293278,45.9353898053412,"Yes",78,30076.2709954539,18.6885748166664,"Yes"
"246","CA1000214",13,45981.7224118819,28.5717886909428,"Yes",61,12208.5197899785,7.58604135234227,"Yes"
"247","CA4901368",40,1067.32316084354,0.663205513343074,"No",167,0,0,"No"
"248","CA1310008",8,18566.5422045958,11.5367431397938,"Yes",12,8279.27994981953,5.14451883990924,"Yes"
"249","CA0105002",46,184.071556899965,0.114377047050322,"No",143,184.071556899965,0.114377047050322,"No"
"250","CA3400342",30,1498.46234572062,0.931103648527108,"No",113,1498.46234572062,0.931103648527108,"No"
"251","CA5110001",55,5939.86948071753,3.69087295457612,"No",70,0,0,"No"
"252","CA4901202",40,5041.29484113815,3.13252317169656,"No",126,5041.29484113815,3.13252317169656,"No"
"253","CA5400647",52,5762.08294612552,3.5804012490372,"No",40,3118.7023024638,1.93787658447799,"No"
"254","CA1000282",11,39506.9091209597,24.5485162370659,"Yes",47,39506.9091209597,24.5485162370659,"Yes"
"255","CA3210011",29,62355.947630694,38.7462858256764,"Yes",144,57710.0244906886,35.8594358499065,"Yes"
"256","CA3600025",51,23375.6432809323,14.5249874364226,"Yes",8,0,0,"No"
"257","CA2110301",33,2443.57933716895,1.51837357995759,"No",117,2443.57933716895,1.51837357995759,"No"
"258","CA0500090",30,42823.453692945,26.6093266139815,"Yes",64,14466.7529931873,8.98924589781357,"Yes"
"259","CA4900521",40,2885.47772849584,1.79295719269753,"No",126,2885.47772849584,1.79295719269753,"No"
"260","CA3500810",12,14010.8590372408,8.70596582278501,"Yes",59,3816.35128300866,2.37137664074009,"No"
"261","CA1300018",8,12821.34787095,7.96683601411137,"Yes",171,6623.67886471341,4.11577346285646,"No"
"262","CA4901164",40,13771.105359692,8.55698942404467,"Yes",167,6009.3093945017,3.73402102383691,"No"
"263","CA3610011",59,2892.00983252647,1.79701606405512,"No",28,0,0,"No"
"264","CA2010011",11,32464.6099927503,20.1726235554639,"Yes",47,32464.6099927503,20.1726235554639,"Yes"
"265","CA4900673",40,2845.52222396713,1.7681299315043,"No",126,2845.52222396713,1.7681299315043,"No"
"266","CA1000267",11,33673.5976188963,20.923855505298,"Yes",90,17652.3326066724,10.9686782200607,"Yes"
"267","CA4901419",40,3804.03952256595,2.36372644846083,"No",126,3804.03952256595,2.36372644846083,"No"
"268","CA4910701",26,6675.18131037839,4.14777567846347,"No",99,6675.18131037839,4.14777567846347,"No"
"269","CA3301511",15,7286.98458504863,4.52793355353663,"No",63,7286.98458504863,4.52793355353663,"No"
"270","CA4901291",40,4226.77730078755,2.62640417859964,"No",126,4226.77730078755,2.62640417859964,"No"
"271","CA5200535",28,26804.7120412969,16.6557172762107,"Yes",105,0,0,"No"
"272","CA4000660",35,81.8450069146915,0.0508562559277042,"No",120,81.8450069146915,0.0508562559277042,"No"
"273","CA0900219",30,8673.52063864739,5.38948925562491,"Yes",100,5930.42288752227,3.68500309911036,"No"
"274","CA4900789",40,2305.4294433972,1.43253100239676,"No",167,0,0,"No"
"275","CA0300667",30,32716.7261359612,20.3292816533245,"Yes",64,16751.3888925371,10.408856358841,"Yes"
"276","CA4000654",9,2119.61682116839,1.31707210481837,"No",37,2119.61682116839,1.31707210481837,"No"
"277","CA4500062",28,2485.17105073265,1.54421753683662,"No",106,2485.17105073265,1.54421753683662,"No"
"278","CA4500291",28,42371.1960522729,26.3283060461263,"Yes",106,42371.1960522729,26.3283060461263,"Yes"
"279","CA0105018",16,2113.06160477777,1.31299887207039,"No",71,2113.06160477777,1.31299887207039,"No"
"280","CA3910003",22,3441.51976893633,2.13846655705838,"No",38,0,0,"No"
"281","CA5301001",28,34626.1221047882,21.5157282518226,"Yes",106,34626.1221047882,21.5157282518226,"Yes"
"282","CA3200148",29,53861.9644011506,33.4683562212774,"Yes",144,52066.9909115654,32.35300863184,"Yes"
"283","CA3301180",14,25995.7197386073,16.1530315151598,"Yes",58,25995.7197386073,16.1530315151598,"Yes"
"284","CA1000198",11,10410.675831023,6.46891013149678,"Yes",128,2716.4335756142,1.68791776480682,"No"
"285","CA0500068",30,43057.754105762,26.7549145026918,"Yes",64,18956.3978277854,11.7789887952735,"Yes"
"286","CA4900608",40,11778.471905747,7.31882132162687,"Yes",21,0,0,"No"
"287","CA1000111",11,31058.8394696805,19.2991160784424,"Yes",47,31058.8394696805,19.2991160784424,"Yes"
"288","CA0310019",30,29535.375761047,18.3524772646221,"Yes",64,12860.3524443421,7.99107239262186,"Yes"
"289","CA2702293",31,1050.70574691669,0.652879905375301,"No",115,1050.70574691669,0.652879905375301,"No"
"290","CA4901232",40,316.186261984265,0.196469522900236,"No",126,316.186261984265,0.196469522900236,"No"
"291","CA2000552",11,41387.4271982748,25.7170189010866,"Yes",47,41387.4271982748,25.7170189010866,"Yes"
"292","CA1200754",28,152265.508638711,94.6136358002107,"Yes",2,12848.3611291257,7.98362131626985,"Yes"
"293","CA4000765",2,5663.25320918624,3.51899114493286,"No",3,5663.25320918624,3.51899114493286,"No"
"294","CA4000808",2,2996.0597562226,1.86166984989039,"No",3,2996.0597562226,1.86166984989039,"No"
"295","CA5410038",27,8011.26627102074,4.97798244685445,"No",102,8011.26627102074,4.97798244685445,"No"
"296","CA2701931",31,7542.52810371974,4.68672132906641,"No",115,7542.52810371974,4.68672132906641,"No"
